gameId,trialNum,repNum,target,original_pct_correct,message_history,target_history,message,condition,model_logprobs
22dyGMRgestp8u5Lc,0,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]",backward,"{'C': -3.576278118089249e-07, 'K': -14.81650161743164, 'B': -20.651939392089844, 'A': -21.302505493164062, 'J': -22.273921966552734, 'E': -24.074951171875, 'I': -24.19832992553711, 'D': -24.739459991455078, 'G': -26.366065979003906, 'L': -27.73174285888672, 'H': -28.401081085205078, 'F': -33.51289367675781}"
22dyGMRgestp8u5Lc,1,0,H,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]",backward,"{'H': -8.34461570775602e-06, 'E': -12.200894355773926, 'L': -13.651049613952637, 'D': -14.090180397033691, 'J': -14.702492713928223, 'K': -15.064337730407715, 'C': -15.074858665466309, 'A': -15.114777565002441, 'I': -15.922759056091309, 'F': -16.986164093017578, 'G': -17.470508575439453, 'B': -18.11436653137207}"
22dyGMRgestp8u5Lc,2,0,J,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}]]","[""E"",""H""]","[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]",backward,"{'J': -1.6569954823353328e-05, 'L': -12.324631690979004, 'D': -12.581147193908691, 'B': -12.718213081359863, 'H': -13.274266242980957, 'I': -13.462063789367676, 'K': -13.479214668273926, 'A': -13.815434455871582, 'E': -16.060930252075195, 'F': -17.791810989379883, 'C': -17.93701171875, 'G': -20.153627395629883}"
22dyGMRgestp8u5Lc,3,0,K,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}]]","[""E"",""H"",""J""]","[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]",backward,"{'B': -0.0004885195521637797, 'F': -7.90631103515625, 'D': -9.12833023071289, 'A': -11.805553436279297, 'C': -13.356708526611328, 'L': -13.580333709716797, 'G': -14.249004364013672, 'I': -15.160518646240234, 'K': -16.119136810302734, 'E': -16.343210220336914, 'H': -17.997251510620117, 'J': -21.412044525146484}"
22dyGMRgestp8u5Lc,4,0,G,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}]]","[""E"",""H"",""J"",""K""]","[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]",backward,"{'A': -2.546222686767578, 'L': -0.10126503556966782, 'D': -4.02301025390625, 'B': -10.540573120117188, 'I': -12.74985122680664, 'G': -14.647510528564453, 'F': -14.825176239013672, 'C': -15.437763214111328, 'E': -18.049598693847656, 'K': -18.052974700927734, 'J': -20.515522003173828, 'H': -21.600582122802734}"
22dyGMRgestp8u5Lc,5,0,F,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G""]","[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]",backward,"{'F': -0.3641454875469208, 'B': -1.19283127784729, 'A': -6.517705917358398, 'E': -8.515901565551758, 'D': -9.094636917114258, 'C': -9.792989730834961, 'I': -13.141031265258789, 'L': -13.528646469116211, 'G': -16.11945152282715, 'H': -18.293872833251953, 'J': -21.12088966369629, 'K': -22.41239356994629}"
22dyGMRgestp8u5Lc,6,0,B,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F""]","[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]",backward,"{'L': -0.27872076630592346, 'D': -1.7554281949996948, 'I': -3.3507156372070312, 'A': -4.030773162841797, 'B': -4.154811859130859, 'C': -6.274639129638672, 'E': -11.18084716796875, 'H': -11.785903930664062, 'K': -13.766878128051758, 'J': -14.896347045898438, 'G': -16.946392059326172, 'F': -19.65658950805664}"
22dyGMRgestp8u5Lc,7,0,D,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B""]","[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]",backward,"{'A': -1.8726428747177124, 'L': -21.65904998779297, 'I': -4.070938587188721, 'D': -6.477024555206299, 'C': -10.465442657470703, 'K': -14.532464981079102, 'H': -17.334728240966797, 'E': -18.07684898376465, 'J': -19.24928855895996, 'B': -19.89328956604004, 'F': -22.616071701049805, 'G': -22.660003662109375}"
22dyGMRgestp8u5Lc,8,0,I,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D""]","[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]",backward,"{'I': -3.397148847579956, 'A': -22.63552474975586, 'C': -3.707066297531128, 'L': -6.764016151428223, 'E': -13.58997631072998, 'K': -14.03372859954834, 'H': -15.840973854064941, 'J': -20.122663497924805, 'G': -20.418750762939453, 'D': -21.246341705322266, 'B': -24.29374885559082, 'F': -24.394102096557617}"
22dyGMRgestp8u5Lc,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""no arms or legs"",""message_number"":1}],[{""role"":""describer"",""text"":""pot with triangle on top"",""message_number"":1}],[{""role"":""describer"",""text"":""priest kneeling, heel up, facing right"",""message_number"":1}],[{""role"":""describer"",""text"":""high heel shoe"",""message_number"":1}],[{""role"":""describer"",""text"":""relaxing in park"",""message_number"":1}],[{""role"":""describer"",""text"":""baby with bow on back of head"",""message_number"":1}],[{""role"":""describer"",""text"":""priest standing up, facing left"",""message_number"":1}],[{""role"":""describer"",""text"":""falling forward, arms out front"",""message_number"":1}]]","[""E"",""H"",""J"",""K"",""G"",""F"",""B"",""D"",""I""]","[{""role"":""describer"",""text"":""falling backwards, one leg up"",""message_number"":1}]",backward,"{'L': -20.78093719482422, 'A': -27.259794235229492, 'C': -28.03903579711914, 'K': -13.59162712097168, 'E': -15.509527206420898, 'H': -18.66268539428711, 'G': -20.189783096313477, 'I': -23.64212989807129, 'J': -24.8171443939209, 'D': -25.660053253173828, 'B': -26.991331100463867, 'F': -30.382320404052734}"
