workerid,correct,condition,gameId,selected,orig_trialNum,orig_repNum,matcher_trialNum,matcher_repNum,target,original_pct_correct,message_history,target_history,message,model_logprobs
5029,True,random,MDLyuv29jevaGLSeT,D,39,3,0,0,D,1.0,[],[],"[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]","{'B': -39.270591735839844, 'A': -4.020593166351318, 'C': -6.020593166351318, 'D': -13.020593643188477, 'E': -22.020593643188477, 'F': -26.270593643188477, 'G': -26.520593643188477, 'H': -28.770593643188477, 'I': -29.020593643188477, 'L': -34.020591735839844, 'J': -37.020591735839844, 'K': -39.770591735839844}"
5029,True,random,x8BXJBHh3RxchPoHv,B,2,0,1,0,B,0.25,[],[],"[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]","{'B': -0.308251291513443, 'C': -1.8082512617111206, 'A': -2.30825138092041, 'D': -6.30825138092041, 'E': -18.308250427246094, 'F': -25.308250427246094, 'H': -26.308250427246094, 'G': -27.058250427246094, 'I': -31.808250427246094, 'L': -35.058250427246094, 'J': -35.308250427246094, 'K': -36.058250427246094}"
5029,True,random,22dyGMRgestp8u5Lc,E,39,3,2,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]","{'B': -0.21705059707164764, 'A': -1.717050552368164, 'C': -7.217050552368164, 'D': -11.967050552368164, 'E': -19.717050552368164, 'H': -19.967050552368164, 'G': -20.967050552368164, 'F': -22.717050552368164, 'I': -29.967050552368164, 'L': -30.467050552368164, 'K': -31.217050552368164, 'J': -31.467050552368164}"
5029,True,random,zviCQXNM4xWoYTmoY,A,7,0,3,0,A,0.8,[],[],"[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}]","{'B': -37.70479965209961, 'A': -38.45479965209961, 'C': -5.704798698425293, 'D': -13.204798698425293, 'E': -25.954797744750977, 'F': -30.704797744750977, 'G': -31.204797744750977, 'H': -31.454797744750977, 'I': -34.95479965209961, 'L': -37.20479965209961, 'J': -38.70479965209961, 'K': -40.95479965209961}"
5029,True,random,MDLyuv29jevaGLSeT,D,68,5,4,0,D,1.0,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]]","[""D""]","[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]","{'D': -25.375019073486328, 'A': -11.750019073486328, 'B': -12.000019073486328, 'C': -12.250019073486328, 'E': -14.750019073486328, 'F': -19.875019073486328, 'G': -21.125019073486328, 'H': -22.500019073486328, 'J': -24.500019073486328, 'I': -25.375019073486328, 'L': -26.500019073486328, 'K': -28.000019073486328}"
5029,True,random,LzNv7CD7gRuxpk7cQ,G,70,5,5,0,G,1.0,[],[],"[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]","{'B': -0.005109704099595547, 'A': -5.505109786987305, 'C': -9.005109786987305, 'D': -14.505109786987305, 'E': -22.255109786987305, 'G': -24.255109786987305, 'H': -25.255109786987305, 'F': -26.005109786987305, 'I': -30.755109786987305, 'L': -33.75510787963867, 'J': -34.00510787963867, 'K': -37.25510787963867}"
5029,True,random,MEJ8y7jRW4947MPrH,L,24,2,6,0,L,1.0,[],[],"[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}]","{'B': -0.08934291452169418, 'A': -2.5893428325653076, 'C': -4.589343070983887, 'D': -8.339343070983887, 'E': -17.33934211730957, 'F': -23.33934211730957, 'H': -23.83934211730957, 'G': -26.33934211730957, 'I': -33.5893440246582, 'J': -34.8393440246582, 'L': -36.0893440246582, 'K': -37.0893440246582}"
5029,True,random,rSMFkjhskBteiyQMB,F,56,4,7,0,F,1.0,[],[],"[{""role"":""describer"",""text"":""depressed man bent knee"",""message_number"":1}]","{'B': -0.03499818593263626, 'A': -5.534998416900635, 'C': -6.784998416900635, 'D': -10.284997940063477, 'E': -16.034997940063477, 'F': -21.284997940063477, 'G': -22.784997940063477, 'H': -25.284997940063477, 'I': -26.284997940063477, 'L': -33.03499984741211, 'J': -33.53499984741211, 'K': -35.53499984741211}"
5029,True,random,x8BXJBHh3RxchPoHv,E,12,1,8,0,E,1.0,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]]","[""B""]","[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}]","{'A': -28.288259506225586, 'C': -3.2882585525512695, 'D': -8.53825855255127, 'E': -10.78825855255127, 'B': -14.28825855255127, 'F': -17.038259506225586, 'H': -18.288259506225586, 'G': -18.288259506225586, 'J': -24.288259506225586, 'I': -28.663259506225586, 'L': -30.163259506225586, 'K': -30.163259506225586}"
5029,False,random,22dyGMRgestp8u5Lc,C,35,2,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}]","{'C': -0.8385719656944275, 'D': -1.5885720252990723, 'B': -1.5885720252990723, 'A': -1.8385720252990723, 'F': -8.588571548461914, 'G': -11.838571548461914, 'E': -14.838571548461914, 'H': -15.338571548461914, 'J': -20.213571548461914, 'I': -22.088571548461914, 'L': -22.338571548461914, 'K': -23.338571548461914}"
5029,True,random,MDLyuv29jevaGLSeT,D,33,2,10,0,D,1.0,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}],[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]]","[""D"",""D""]","[{""role"":""describer"",""text"":""standing up straight facing left"",""message_number"":1}]","{'D': -26.75, 'A': -14.250000953674316, 'B': -16.375, 'C': -17.125, 'E': -19.625, 'F': -22.0, 'H': -23.75, 'G': -24.0, 'I': -26.0, 'J': -26.25, 'L': -27.0, 'K': -29.0}"
5029,False,random,Z2WAkYpWiXwuGcdME,K,42,3,11,0,C,1.0,[],[],"[{""role"":""describer"",""text"":""arm hair standing"",""message_number"":1}]","{'B': -0.12444688379764557, 'A': -3.1244468688964844, 'C': -7.624446868896484, 'D': -12.374446868896484, 'E': -17.874446868896484, 'G': -20.374446868896484, 'F': -21.124446868896484, 'H': -22.374446868896484, 'I': -25.124446868896484, 'J': -30.624446868896484, 'L': -31.374446868896484, 'K': -34.749446868896484}"
5029,False,random,LzNv7CD7gRuxpk7cQ,H,59,4,12,1,E,1.0,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]]","[""G""]","[{""role"":""describer"",""text"":""indian"",""message_number"":1}]","{'F': -2.3438732624053955, 'E': -0.3438732922077179, 'C': -1.8438732624053955, 'A': -4.093873500823975, 'D': -4.843873500823975, 'B': -5.093873500823975, 'H': -5.093873500823975, 'J': -13.093873023986816, 'I': -13.843873023986816, 'K': -17.593873977661133, 'G': -18.343873977661133, 'L': -20.843873977661133}"
