workerid,correct,condition,gameId,selected,orig_trialNum,orig_repNum,matcher_trialNum,matcher_repNum,target,original_pct_correct,message_history,target_history,message,model_logprobs
5029,True,random,MDLyuv29jevaGLSeT,D,39,3,0,0,D,1.0,[],[],"[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]","{'A': -0.9961276054382324, 'C': -1.7461276054382324, 'D': -2.1211276054382324, 'B': -2.2461276054382324, 'E': -4.746127605438232, 'F': -5.746127605438232, 'J': -5.996127605438232, 'L': -6.496127605438232, 'G': -6.558627605438232, 'H': -6.558627605438232, 'I': -6.746127605438232, 'K': -6.746127605438232}"
5029,True,random,x8BXJBHh3RxchPoHv,B,2,0,1,0,B,0.25,[],[],"[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]","{'A': -0.6144051551818848, 'B': -1.2394051551818848, 'C': -2.9894051551818848, 'D': -3.3644051551818848, 'E': -4.114405155181885, 'G': -5.614405155181885, 'F': -5.739405155181885, 'H': -6.426905155181885, 'J': -6.551905155181885, 'I': -6.676905155181885, 'K': -6.739405155181885, 'L': -7.426905155181885}"
5029,True,random,22dyGMRgestp8u5Lc,E,39,3,2,0,E,1.0,[],[],"[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]","{'A': -1.2027279138565063, 'C': -1.9527279138565063, 'B': -2.202727794647217, 'D': -2.202727794647217, 'E': -4.702727794647217, 'J': -6.015227794647217, 'F': -6.265227794647217, 'H': -6.265227794647217, 'I': -6.390227794647217, 'G': -6.577727794647217, 'L': -6.577727794647217, 'K': -6.702727794647217}"
5029,True,random,zviCQXNM4xWoYTmoY,A,7,0,3,0,A,0.8,[],[],"[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}]","{'A': -1.7684966325759888, 'B': -2.768496513366699, 'D': -3.143496513366699, 'C': -3.268496513366699, 'F': -5.018496513366699, 'E': -6.080996513366699, 'G': -7.018496513366699, 'L': -7.080996513366699, 'J': -7.205996513366699, 'I': -7.643496513366699, 'H': -7.705996513366699, 'K': -7.830996513366699}"
5029,True,random,MDLyuv29jevaGLSeT,D,68,5,4,0,D,1.0,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}]]","[""D""]","[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]","{'A': -1.661512851715088, 'D': -1.286512851715088, 'B': -1.786512851715088, 'C': -1.786512851715088, 'E': -2.661512851715088, 'F': -3.411512851715088, 'G': -3.536512851715088, 'H': -3.911512851715088, 'I': -4.286512851715088, 'J': -4.411512851715088, 'K': -5.036512851715088, 'L': -5.536512851715088}"
5029,True,random,LzNv7CD7gRuxpk7cQ,G,70,5,5,0,G,1.0,[],[],"[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]","{'D': -1.9353437423706055, 'A': -1.1853437423706055, 'C': -2.0603437423706055, 'B': -2.1853437423706055, 'E': -4.8103437423706055, 'J': -6.0603437423706055, 'I': -6.3103437423706055, 'F': -6.3728437423706055, 'G': -6.3728437423706055, 'H': -6.4978437423706055, 'L': -6.6228437423706055, 'K': -6.8103437423706055}"
5029,True,random,MEJ8y7jRW4947MPrH,L,24,2,6,0,L,1.0,[],[],"[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}]","{'A': -1.4346427917480469, 'B': -3.059642791748047, 'C': -3.059642791748047, 'D': -3.434642791748047, 'F': -4.809642791748047, 'E': -4.872142791748047, 'G': -4.997142791748047, 'H': -5.059642791748047, 'J': -5.497142791748047, 'K': -5.497142791748047, 'L': -6.247142791748047, 'I': -6.497142791748047}"
5029,True,random,rSMFkjhskBteiyQMB,F,56,4,7,0,F,1.0,[],[],"[{""role"":""describer"",""text"":""depressed man bent knee"",""message_number"":1}]","{'A': -1.2410650253295898, 'C': -1.9910650253295898, 'D': -2.11606502532959, 'B': -2.49106502532959, 'E': -5.11606502532959, 'J': -6.24106502532959, 'F': -6.42856502532959, 'K': -6.80356502532959, 'H': -6.86606502532959, 'G': -7.05356502532959, 'I': -7.05356502532959, 'L': -7.11606502532959}"
5029,True,random,x8BXJBHh3RxchPoHv,E,12,1,8,0,E,1.0,"[[{""role"":""describer"",""text"":""like someone kneeling"",""message_number"":1},{""role"":""describer"",""text"":""facing to the right of screen"",""message_number"":2},{""role"":""matcher"",""text"":""arms together or spread"",""message_number"":3},{""role"":""matcher"",""text"":""arms raised"",""message_number"":4},{""role"":""describer"",""text"":""arms raised"",""message_number"":5}]]","[""B""]","[{""role"":""describer"",""text"":""It is the bunny rabbit"",""message_number"":1},{""role"":""describer"",""text"":""two triangles for ears"",""message_number"":2}]","{'C': -1.5366829633712769, 'A': -1.2866829633712769, 'D': -1.5366829633712769, 'B': -1.7866829633712769, 'E': -2.6616830825805664, 'F': -3.7866830825805664, 'G': -4.286683082580566, 'H': -4.536683082580566, 'J': -5.411683082580566, 'K': -6.411683082580566, 'I': -6.724183082580566, 'L': -8.161683082580566}"
5029,False,random,22dyGMRgestp8u5Lc,C,35,2,9,0,A,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}]]","[""E""]","[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}]","{'G': -2.623551845550537, 'A': -1.7485517263412476, 'B': -1.9985517263412476, 'D': -1.9985517263412476, 'C': -2.123551845550537, 'F': -2.373551845550537, 'H': -2.748551845550537, 'J': -3.123551845550537, 'E': -3.248551845550537, 'I': -3.248551845550537, 'K': -3.623551845550537, 'L': -4.123551845550537}"
5029,True,random,MDLyuv29jevaGLSeT,D,33,2,10,0,D,1.0,"[[{""role"":""describer"",""text"":""Guy stood straight facing left looking down at arms extended to left"",""message_number"":1}],[{""role"":""describer"",""text"":""Standing facing left arms extended in front"",""message_number"":1}]]","[""D"",""D""]","[{""role"":""describer"",""text"":""standing up straight facing left"",""message_number"":1}]","{'D': -0.10731270164251328, 'A': -3.4823126792907715, 'B': -3.4823126792907715, 'C': -3.6073126792907715, 'E': -5.2323126792907715, 'F': -6.2323126792907715, 'G': -6.6073126792907715, 'H': -6.9823126792907715, 'I': -7.3573126792907715, 'J': -7.6073126792907715, 'L': -7.7323126792907715, 'K': -7.8573126792907715}"
5029,False,random,Z2WAkYpWiXwuGcdME,K,42,3,11,0,C,1.0,[],[],"[{""role"":""describer"",""text"":""arm hair standing"",""message_number"":1}]","{'B': -2.6000895500183105, 'A': -1.3500895500183105, 'C': -2.4750895500183105, 'D': -2.8500895500183105, 'E': -5.3500895500183105, 'J': -6.1625895500183105, 'I': -6.7250895500183105, 'F': -6.8500895500183105, 'G': -6.8500895500183105, 'H': -6.8500895500183105, 'L': -6.9125895500183105, 'K': -7.2250895500183105}"
5029,False,random,LzNv7CD7gRuxpk7cQ,H,59,4,12,1,E,1.0,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}]]","[""G""]","[{""role"":""describer"",""text"":""indian"",""message_number"":1}]","{'A': -2.0519707202911377, 'D': -2.0519707202911377, 'B': -2.1769707202911377, 'C': -2.1769707202911377, 'E': -2.3019707202911377, 'F': -2.4269707202911377, 'H': -2.5519707202911377, 'I': -2.9269707202911377, 'G': -3.0519707202911377, 'J': -3.1769707202911377, 'K': -3.6769707202911377, 'L': -3.9269707202911377}"
5029,True,random,MEJ8y7jRW4947MPrH,C,10,0,13,1,C,1.0,"[[{""role"":""describer"",""text"":""diamond head arms left knees bent"",""message_number"":1},{""role"":""describer"",""text"":""arms right sorry"",""message_number"":2},{""role"":""matcher"",""text"":""are his legs facing the ceiling or flat"",""message_number"":3},{""role"":""matcher"",""text"":""feet up or no"",""message_number"":4},{""role"":""matcher"",""text"":""it looks like they're doing a squat while holding a tray"",""message_number"":5},{""role"":""describer"",""text"":""knees bent to right under knees"",""message_number"":6},{""role"":""matcher"",""text"":""*tray"",""message_number"":7},{""role"":""describer"",""text"":""yes squat with the tray guy"",""message_number"":8},{""role"":""matcher"",""text"":""squat guy"",""message_number"":9},{""role"":""matcher"",""text"":""squat is a good one"",""message_number"":10},{""role"":""matcher"",""text"":""squat guy"",""message_number"":11}]]","[""L""]","[{""role"":""describer"",""text"":""celebratory person - arms extended, diamond head"",""message_number"":1},{""role"":""matcher"",""text"":""no legs"",""message_number"":2},{""role"":""matcher"",""text"":""leaning left"",""message_number"":3},{""role"":""matcher"",""text"":""leaning to left"",""message_number"":4},{""role"":""matcher"",""text"":""body laying left"",""message_number"":5},{""role"":""describer"",""text"":""no legs"",""message_number"":6},{""role"":""matcher"",""text"":""no legs"",""message_number"":7},{""role"":""describer"",""text"":""leaning left"",""message_number"":8}]","{'D': -2.120387554168701, 'A': -1.7453875541687012, 'B': -1.8703875541687012, 'C': -2.370387554168701, 'E': -2.495387554168701, 'F': -2.620387554168701, 'G': -2.870387554168701, 'H': -2.870387554168701, 'J': -2.995387554168701, 'I': -3.495387554168701, 'K': -3.745387554168701, 'L': -4.870387554168701}"
5029,True,random,Z2WAkYpWiXwuGcdME,I,57,4,14,1,I,1.0,"[[{""role"":""describer"",""text"":""arm hair standing"",""message_number"":1}]]","[""C""]","[{""role"":""describer"",""text"":""karate"",""message_number"":1}]","{'C': -1.7705192565917969, 'A': -1.6455192565917969, 'D': -1.6455192565917969, 'B': -1.7705192565917969, 'E': -2.270519256591797, 'F': -3.020519256591797, 'G': -3.020519256591797, 'H': -3.270519256591797, 'J': -4.270519256591797, 'I': -4.770519256591797, 'K': -5.145519256591797, 'L': -6.270519256591797}"
5029,True,random,LzNv7CD7gRuxpk7cQ,H,35,2,15,1,H,1.0,"[[{""role"":""describer"",""text"":""tango dancer"",""message_number"":1}],[{""role"":""describer"",""text"":""indian"",""message_number"":1}]]","[""G"",""E""]","[{""role"":""describer"",""text"":""grave stone"",""message_number"":1}]","{'H': -2.3657333850860596, 'A': -2.1157333850860596, 'B': -2.1157333850860596, 'C': -2.1157333850860596, 'D': -2.1157333850860596, 'F': -2.2407333850860596, 'E': -2.8657333850860596, 'I': -2.8657333850860596, 'J': -2.8657333850860596, 'K': -3.3657333850860596, 'L': -3.4907333850860596, 'G': -3.6157333850860596}"
5029,True,random,22dyGMRgestp8u5Lc,C,61,5,16,1,C,1.0,"[[{""role"":""describer"",""text"":""bunny ears"",""message_number"":1}],[{""role"":""describer"",""text"":""facing left one leg up arms up falling backward"",""message_number"":1}]]","[""E"",""A""]","[{""role"":""describer"",""text"":""jumping off building, arms out"",""message_number"":1}]","{'B': -1.7521240711212158, 'C': -2.002124071121216, 'D': -2.002124071121216, 'A': -2.252124071121216, 'E': -2.502124071121216, 'F': -2.627124071121216, 'G': -2.877124071121216, 'H': -2.877124071121216, 'J': -2.877124071121216, 'I': -3.252124071121216, 'K': -3.627124071121216, 'L': -4.252123832702637}"
5029,True,random,zviCQXNM4xWoYTmoY,E,30,2,17,1,E,1.0,"[[{""role"":""describer"",""text"":""like a person walking lifting one foot up, leaning head back a bit, holding a cloth in front of them"",""message_number"":1},{""role"":""matcher"",""text"":""square on their back"",""message_number"":2},{""role"":""describer"",""text"":""lifting the foot up in front of them not behind"",""message_number"":3},{""role"":""matcher"",""text"":""foot lifting up to the left"",""message_number"":4}]]","[""A""]","[{""role"":""describer"",""text"":""bunny one with two triangles at the top"",""message_number"":1}]","{'A': -1.4484227895736694, 'B': -1.1984227895736694, 'C': -1.6984227895736694, 'D': -1.8234227895736694, 'E': -3.073422908782959, 'F': -3.948422908782959, 'G': -4.448422908782959, 'H': -4.448422908782959, 'J': -4.948422908782959, 'K': -5.635922908782959, 'I': -6.010922908782959, 'L': -6.073422908782959}"
